Id;codigo;nome;razao_social;email;telefone;tipo_negocio;grupo_negocio;rua;numero;cep;bairro;complemento;cidade;estado;pais;cnpj;inscricao_estadual;observacao;data_criacao;dia_pagamento;status;data_inativo;atendimentos_agendados;atendimentos_atrasados;atendimentos_finalizados;frequencia_coleta
10000562;CT 38;TENDA ATACADO RIBEIRÃO;Tenda Atacado S/A;isabel.rego@tendaatacado.com.br;(16) 3961-9560;Supermercado;Comércio;Avenida Marechal Costa e Silva;1231;14080-130;Campos Elísios;até 2773 - lado ímpar;Ribeirão Preto;SP;Brasil;01157555003804;797.090.682.116;COMODATO 06/10/2015 - GÔNDOLA ENTREGUE DIA 11/07/2022;24/05/2018;0;Inativo;28/08/2023;0;0;181;
10000563;UEB Lins Rio Preto;Escoteiros Lis Rio Preto;Escoteiros do Brasil;wagnerbortoletto@hotmail.com;(17) 99102-5129;Outros;Outros;Avenida Potirendaba;4199.0;15081-000;;;São José do Rio Preto;SP;Brasil;11933346000169;;;24/05/2018;0;Nunca coletado;;0;0;2;
10000565;2222;*BK FRANCA SHOPPING - 18546;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 4199-5345;Restaurante;Estabelecimentos Alimentícios;Avenida Rio Negro;1100;14406-005;São Miguel;;Franca;SP;Brasil;13574594001753;;COMODATO 01/07/2015;24/05/2018;0;Ativo;24/09/2023;0;0;227;
10000566;2222;*BK DRIVE FRANCA - 19626;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 3524-4500;Restaurante;Estabelecimentos Alimentícios;Avenida Doutor Ismael Alonso Y. Alonso;1733;14400-770;Centro;até 2265 - lado ímpar;Franca;SP;Brasil;13574594024532;;COMODATO 01/07/2015 E 17/07/2020;24/05/2018;0;Ativo;19/09/2023;0;0;237;
10000567;2222;*BK DRIVE RIBEIRÃO PORTUGAL - 18870;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 3524-4500;Restaurante;Estabelecimentos Alimentícios;Avenida Portugal;810;14020-380;Jardim São Luiz;;Ribeirão Preto;SP;Brasil;13574594007522;;COMODATO 30/06/2015;24/05/2018;0;Ativo;24/09/2023;0;0;297;
10000568;2222;*BK SHOPPING SANTA URSULA - 18452;BK SHOPPING SANTA URSULA;gsantos@shoppingsantaursula.com.br;(11) 4199-5345;Restaurante;Estabelecimentos Alimentícios;Rua São José;933;14010-160;Centro;;Ribeirão Preto;SP;Brasil;13574594001400;;COMODATO 01/07/2015;24/05/2018;0;Ativo;24/09/2023;0;0;274;
10000569;2222;*BK BAURU SHOPPING - 17782;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 3524-4500;Restaurante;Estabelecimentos Alimentícios;Rua Henrique Savi;15-55;17011-900;Vila Cidade Universitária;55 Quadra 15;Bauru;SP;Brasil;13574594019377;;;24/05/2018;0;Ativo;15/09/2023;0;0;295;
10000570;2222;*BK GARDEN CATANDUVA - 18643;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(17) 99769-2653;Restaurante;Estabelecimentos Alimentícios;Avenida Engenheiro José Nelson Machado;280;15800-200;Centro;;Catanduva;SP;Brasil;13574594004507;;;24/05/2018;0;Ativo;01/10/2023;0;0;126;
10000571;21141;BK SHOPPING CIDADE NORTE;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;1135244500;Restaurante;Estabelecimentos Alimentícios;Avenida Alfredo Antônio de Oliveira;2077.0;15046-355;;;São José do Rio Preto;SP;Brasil;13574594031075;;;24/05/2018;0;Nunca coletado;;0;0;11;
10000572;2222;*BK IGUATEMI SHOPPING SJRP - 20046;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 3524-4500;Restaurante;Estabelecimentos Alimentícios;Avenida Presidente Juscelino Kubitschek de Oliveira;5000;15093-340;Iguatemi;;São José do Rio Preto;SP;Brasil;13574594031318;;COMODATO 21/08/2015 E 15/07/2015;24/05/2018;0;Ativo;22/09/2023;0;0;216;
10000573;21143;BK CARREFOUR SÃO JOSÉ DO RIO PRETO;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;1135244500;Restaurante;Estabelecimentos Alimentícios;Avenida Tancredo Neves;900.0;15076-630;;;São José do Rio Preto;SP;Brasil;13574594026829;;;24/05/2018;0;Nunca coletado;;0;0;10;
10000574;2222;*BK SHOPPING PATIO - 20623;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;"gabriela.passos@burgerking.com.br;20623@burgerking.com.br";(11) 3524-4500;Restaurante;Estabelecimentos Alimentícios;Avenida Marginal 200;S/N;18606-294;Vila Real;;Botucatu;SP;Brasil;13574594015703;;COMODATO 13/03/2018, 03/07/2015 E 08/11/2016;24/05/2018;0;Ativo;01/10/2023;0;0;162;
10000575;2222;*BK RIBEIRÃO SHOPPING - 18815;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Coronel Fernando Ferreira Leite;1540;14026-900;Jardim Califórnia;;Ribeirão Preto;SP;Brasil;13574594007603;;COMODATO 06/05/2019, 16/12/2015 E 30/06/2015;24/05/2018;0;Ativo;24/09/2023;0;0;257;
10000576;2222;*BK IGUATEMI SHOPPING RIBEIRÃO - 19516;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Luiz Eduardo Toledo Prado;900;14027-250;Vila do Golf;;Ribeirão Preto;SP;Brasil;13574594022831;;;24/05/2018;0;Ativo;26/09/2023;0;0;208;
10000577;2222;*BK DRIVE RIBEIRÃO VARGAS - 22914;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Presidente Vargas;1967;14020525;Jardim Santa Ângela;;Ribeirão Preto;SP;Brasil;13574594027043;;COMODATO 01/07/2015;24/05/2018;0;Ativo;25/09/2023;0;0;308;
10000578;2222;*BK DRIVE SJRP BADY BASSITT - 20210;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 2397-3206;Restaurante;Estabelecimentos Alimentícios;Rua Professor Jamil Kauan;S/N;15015-620;Vila Bancário;;São José do Rio Preto;SP;Brasil;13574594031237;;COMODATO 15/07/2015, 16/08/2016 E 21/08/2017;24/05/2018;0;Ativo;14/09/2023;0;0;259;
10000579;2222;*BK PLAZA AVENIDA  SJRP - 20222;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida José Munia;4775;15085-350;Jardim Redentor;;São José do Rio Preto;SP;Brasil;13574594033876;;;24/05/2018;0;Ativo;23/09/2023;0;0;189;
10000580;2222;*BK SHOPPING JARAGUÁ - 21588;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Acesso Engenheiro Heitor de Souza Pinheiro;S/N;14801-600;Vila Santana;;Araraquara;SP;Brasil;13574594048636;;;24/05/2018;0;Ativo;23/09/2023;0;0;280;
10000581;2222;*BK DRIVE ARARAQUARA - 21533;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Padre Francisco Sales Colturato;470;14801-250;Centro;lado ímpar;Araraquara;SP;Brasil;13574594041461;;COMODATO 27/03/2020;24/05/2018;0;Ativo;24/09/2023;0;0;350;
10000582;2222;*BK MARÍLIA SHOPPING - 16659;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Rua dos Tucunarés;500;17507-280;Jardim Maria Martha;;Marília;SP;Brasil;13574594018214;;COMODATO 13/09/2019 E 31/08/2015;24/05/2018;0;Ativo;19/09/2023;0;0;136;
10000583;2222;*BK SHOPPING PASSEIO - 21699;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Francisco Pereira Lopes;1701;13561-250;Parque Santa Mônica;;São Carlos;SP;Brasil;13574594052153;;;24/05/2018;0;Ativo;29/09/2023;0;0;219;
10000584;2222;*BK DRIVE JAU - 19784;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Deputado Zien Nassif;S/N;17203570;1ª Zona Industrial;;Jaú;SP;Brasil;13574594043081;;;24/05/2018;0;Ativo;17/09/2023;0;0;296;
10000585;2222;*BK ASSIS PLAZA - 20407;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Rui Barbosa;300;19814-000;Centro;;Assis;SP;Brasil;13574594034929;;;24/05/2018;0;Ativo;18/09/2023;0;0;136;
10000586;2222;*BK DRIVE MARÍLIA - 21822;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(18) 99698-6692;Restaurante;Estabelecimentos Alimentícios;Avenida Tiradentes;1008;17519-000;Fragata;de 592/593 ao fim;Marília;SP;Brasil;13574594054369;;COMODATO 28/02/2018, 13/06/2017, 07/06/2017, 22/05/2017 E 18/06/2021 (RETIROU 2 TB 13/11/2020);24/05/2018;0;Inativo;19/08/2023;0;0;144;
10000587;2222;*BK BOULEVARD SHOPPING - 19027;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Rua General Marcondes Salgado;11-39;17013-113;Chácara das Flores;;Bauru;SP;Brasil;13574594012364;;COMODATO 07/07/2015;24/05/2018;0;Ativo;16/09/2023;0;0;303;
10000588;2222;*BK GETÚLIO BAURU - 22513;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(14) 3010-3636;Restaurante;Estabelecimentos Alimentícios;Avenida Getúlio Vargas;5-80;17017-000;Vila Guedes de Azevedo;até Quadra 8;Bauru;SP;Brasil;13574594060091;;COMODATO 20/12/2016/19/10/2021;24/05/2018;0;Ativo;15/09/2023;0;0;307;
10000589;2222;*BK SHOPPING PRAÇA NOVA ARAÇATUBA - 20406;BK SHOPPING PRAÇA NOVA ARAÇATUBA;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Carlos Pereira da Silva;6000;16026-035;Guanabara;;Araçatuba;SP;Brasil;13574594032985;;COMODATO 14/06/2018;24/05/2018;0;Ativo;18/09/2023;0;0;227;
10000590;2222;*BK DRIVE ARAÇATUBA - 19652;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Av. Brasília;1798;16018-000;Vila Sao Paulo;;Araçatuba;SP;Brasil;13574594024109;;COMODATO 14/10/2018, 01/10/2018, 17/09/2018 E 14/06/2018;24/05/2018;0;Ativo;24/09/2023;0;0;233;
10000591;2222;*BK NORTH SHOPPING BARRETOS - 19421;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Via Conselheiro Antônio Prado;1400;14784-190;Pereira;lado ímpar;Barretos;SP;Brasil;13574594023803;;COMODATO 14/06/2018;24/05/2018;0;Inativo;12/09/2023;0;0;227;
10000592;2222;*BK SHOPPING BEBEDOURO - 23183;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Allan Kardec;1451;14701-464;Centro;;Bebedouro;SP;Brasil;13574594064917;;COMODATO 14/06/2018 - 21/05/2019 - 06/01/2022;24/05/2018;0;Ativo;22/09/2023;0;0;181;
10000593;2222;*BK PRUDENSHOPPING - 18421;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Avenida Manoel Goulart;2400;19060-000;Vila Santa Helena;;Presidente Prudente;SP;Brasil;13574594001320;;COMODATO 14/06/2018;24/05/2018;0;Ativo;26/09/2023;0;0;158;
10000594;2222;*BK ACAE PRESIDENTE PRUDENTE - 19616;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Av. Washington Luiz;875;19015-150;Centro;;Presidente Prudente;SP;Brasil;13574594013506;;COMODATO 14/06/2018;24/05/2018;0;Ativo;01/10/2023;0;0;170;
10000595;2222;*BK PARQUE SHOPPING - 23178;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Rua Siqueira Campos;1545;19013-030;Vila Roberto;;Presidente Prudente;SP;Brasil;13574594063864;;;24/05/2018;0;Ativo;26/09/2023;0;0;165;
10000596;2222;*BK SHOPPING PENÁPOLIS - 21914;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;gabriela.passos@burgerking.com.br;(11) 23970-3206;Restaurante;Estabelecimentos Alimentícios;Rodovia Sargento Luciano Arnaldo Covolan;1055;16306-550;Gilberto Elias Ferreira;;Penápolis;SP;Brasil;13574594054440;;COMODATO 14/06/2018;24/05/2018;0;Ativo;08/10/2023;0;0;184;
10000597;2222;*BK SHOPPING FERNANDÓPOLIS - 23107;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A;gabriela.passos@burgerking.com.br;(17) 2397-0320;Restaurante;Estabelecimentos Alimentícios;Avenida Litério Grecco;600;15608060;Vila São Fernando;;Fernandópolis;SP;Brasil;06088593000176;;COMODATO 19/11/2019 - 21/11/2017;24/05/2018;0;Ativo;04/10/2023;0;0;118;
10000598;CT 42;TENDA ATACADO SJRP;Tenda Atacado S/A;isabel.rego@tendaatacado.com.br;(17) 2932-1805;Supermercado;Comércio;Avenida José Munia;4775;15085-350;Jardim Redentor;até 5801 - lado ímpar;São José do Rio Preto;SP;Brasil;01157555004282;;;24/05/2018;0;Inativo;08/03/2022;0;0;100;
10000904;;Ações Promocionais Petroecol;;;1432087835;Outros;Outros;Rua Marçal de Arruda Campos;7-90;17063-060;Vila Lemos;;Bauru;SP;Brasil;;;;24/05/2018;0;Coletado 1 vez;;0;0;1;
10001195;Loja 01;Supermercado Abeve Loja 01;;;(67) 3411-8100;Supermercado;Comércio;Rua Albino Torraca;903;79803020;Jardim América;até 977/978;Dourados;MS;Brasil;04757459000438;;;24/05/2018;;Nunca coletado;;;;;
10001196;Loja 04;Supermercado Abeve Loja 04;;;(67) 3411-8125;Supermercado;Comércio;Rua Hayel Bon Faker;1425;79811100;Jardim Água Boa;de 1217/1218 a 1841/1842;Dourados;MS;Brasil;04757459000780;;;24/05/2018;;Nunca coletado;;0;0;1;
10001197;Loja 16;Supermercado Abeve Loja 16;;;(67) 99963-8928;Supermercado;Comércio;Rua Antônio Emílio de Figueiredo;170;79820140;Jardim Climax;de 199/200 a 759/0760;Dourados;MS;Brasil;04757459001914;;;24/05/2018;;Nunca coletado;;0;0;1;
10001198;;Supermercado Abeve Loja 13;;;(67) 99842-8331;Supermercado;Comércio;Rua Pedro Rodrigues;120;79890000;BNH;;Itaporã;MS;Brasil;04757459001752;;;24/05/2018;;Inativo;17/11/2020;0;0;2;
10001199;;Supermercado Abeve Loja 18;;;(67) 99903-7094;Supermercado;Comércio;Av. Deodato Leonardo da Silva;909;79790000;Centro;;Deodápolis;MS;Brasil;04757459002724;;;24/05/2018;;Nunca coletado;;;;;
10001200;Loja 17;Supermercado Abeve Loja 17;;;(67) 99832-7352;Supermercado;Comércio;Av. Antonio Joaquim de Moura Andrade;350;79750000;Centro;;Nova Andradina;MS;Brasil;04757459002481;;;24/05/2018;;Inativo;19/11/2020;0;0;2;
10001201;Loja 20;Supermercado Abeve Loja 20;;;(67) 99904-0244;Supermercado;Comércio;AV. Duval Rodrigues Lopes;1200;79500000;Jardim Santana;;Paranaíba;MS;Brasil;04757459002996;;;24/05/2018;;Nunca coletado;;0;0;1;
10001313;2222;*BK DRIVE ARARAS - 24366;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A;gabriela.passos@burgerking.com.br;(17) 2397-0320;Restaurante;Estabelecimentos Alimentícios;Avenida Dona Renata;3858;13600-001;Centro;;Araras;SP;Brasil;13574594072260;;COMODATO 11/01/2018, 28/02/2018, 15/12/2020 E 15/07/2021;24/05/2018;0;Ativo;23/09/2023;0;0;106;
10001314;2222;*BK JABOTICABAL SHOPPING - 25040;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A;gabriela.passos@burgerking.com.br;(17) 2397-0320;Restaurante;Estabelecimentos Alimentícios;Praça Doutor José Marcondes Homem de Melo;146;14870-515;Centro;;Jaboticabal;SP;Brasil;13574594072189;;COMODATO 14/06/2018;24/05/2018;0;Ativo;25/09/2023;0;0;164;
10001315;2222;*BK DRIVE JOSE MUNIA - 21712;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A;gabriela.passos@burgerking.com.br;(17) 2397-0320;Restaurante;Estabelecimentos Alimentícios;Avenida José Munia;S/N;15090-500;Jardim Vivendas;;São José do Rio Preto;SP;Brasil;13574594049799;;COMODATO 15/01/2018 - 10/07/2017 - 21/08/2017 - 03/07/2023;24/05/2018;0;Ativo;24/09/2023;0;0;250;
10001373;25040;Restaurante Jaboticabal;;;;Restaurante;Estabelecimentos Alimentícios;Praça Doutor José Marcondes Homem de Melo;146;14870515;Centro;;Jaboticabal;SP;Brasil;13574594072189;;;17/07/2018;;Deletado;;;;;
10001374;24366;Restaurante  Drive Araras;;;;Restaurante;Estabelecimentos Alimentícios;Avenida Dona Renata;3858;13600001;Centro;;Araras;SP;Brasil;13574594072260;;;17/07/2018;;Deletado;;;;;
10001375;21712;Restaurante Drive SJRP - José Munia;;;;Restaurante;Estabelecimentos Alimentícios;Avenida José Munia;s/n;15090500;Jardim Vivendas;de 6800 ao fim - lado par;São José do Rio Preto;SP;Brasil;13574594049799;;;17/07/2018;;Deletado;;;;;
10001393;Loja 05;Supermercado Abeve Loja 05;ABVE COMERCIO DE ALIMENTOS LTDA;;67999058443;Supermercado;Comércio;Avenida Presidente Getúlio Vargas 198;311;16920970;Centro;;Castilho;SP;Brasil;04757459000861;;;20/08/2018;;Nunca coletado;;;;;
10001405;2222;*BK FS VOTUPORANGA - 25435;BK FS VOTUPORANGA;;(17) 99614-6812;Restaurante;Estabelecimentos Alimentícios;Avenida Brasil;4819;15500-051;Jardim São Judas Tadeu;;Votuporanga;SP;Brasil;13574594076761;;COMODATO 19/07/2018 - 08/03/2022 - 19/04/2022;27/08/2018;;Ativo;06/10/2023;0;0;100;
10001500;Loja 14;Supermercado Abeve Loja 14;ABVE COMERCIO DE ALIMENTOS LTDA;;67996958966;Supermercado;Comércio;R. Benjamin Constant;773;79130-000;Centro;;Rio Brilhante;MS;Brasil;04757459002058;;;03/01/2019;;Nunca coletado;;0;0;1;
10001514;2222;*BK FS SERTÃOZINHO - 25857;BK FS SERTÃOZINHO;;(11) 95687-3928;Restaurante;Estabelecimentos Alimentícios;Avenida Antonio Paschoal;1447;14160-500;Centro;;Sertãozinho;SP;Brasil;13574594081684;;COMODATO 09/01/2018 E 07/01/2021;04/02/2019;;Inativo;05/09/2023;0;0;157;
10001515;2222;*BK FS BOTUCATU - 25439;BK FS BOTUCATU;;(14) 99866-2464;Restaurante;Estabelecimentos Alimentícios;Avenida Santana;761;18600-020;Centro;;Botucatu;SP;Brasil;13574594076680;;COMODATO 03/01/2019, 26/02/2019 E 22/07/2021;04/02/2019;;Ativo;28/09/2023;0;0;142;
10001845;;100 LIMIT;100 LIMIT;;(16) 3461-2017;;;Avenida de Ferro;933;14810-388;Jardim das Estações (Vila Xavier);;Araraquara;SP;Brasil;18645342000124;;;24/03/2017;;Deletado;17/04/2021;0;0;4;
10001846;;ADRIANA (TRAILLER);ADRIANA (TRAILLER);;(16) 3324-3342;;;R Olimpio Bolzan;781;00000-000;;Antiga Av 43;Araraquara;SP;Brasil;;;;25/02/2015;;Deletado;20/10/2019;0;0;2;
10001847;11;AFRODITE BUFFET;AFRODITE BUFFET;;(16) 3335-7741;;;R Zero;1023;00000-000;;Esquina Da Castelinho;Araraquara;SP;Brasil;;;Prazo;03/07/2013;;Ativo;02/10/2023;0;0;62;
10001848;2090;ALUMINIO RAMOS (SAPORE);ALUMINIO RAMOS (SAPORE);;(16) 3334-7333;;;Av Engenheiro Camilo Dinucci;4941;00000-000;;;Araraquara;SP;Brasil;;;Prazo;30/11/2016;;Deletado;;0;0;1;
10001849;COMODATO 07/02/2018;ARAUCARIA RESTAURANTE;ARAUCARIA RESTAURANTE;;(16) 3508-6800;Outros estabelecimentos comerciais;Comércio;Avenida Rodrigo Fernando Grillo;141;14801-534;Jardim Dos Manacás;;Araraquara;SP;Brasil;29396932000187;;;05/02/2018;;Ativo;28/10/2023;0;0;46;
10001850;COMODATO 07/11/2017, 20/02/2018 E 04/02/2020;ARMAZÉM DA VILA BAR;ARMAZÉM DA VILA BAR;;(16) 99630-1120;Bar / Boteco / Pub;Estabelecimentos Alimentícios;Rua 13 de Maio;577;14810-084;Vila Xavier (Vila Xavier);;Araraquara;SP;Brasil;28374827000184;;;08/11/2017;;Ativo;04/01/2024;0;0;44;
10001851;41;ASSADOS E CIA ARARAQUARA;ASSADOS E CIA ARARAQUARA;;(16) 3324-2394;;;Rua Mauricio Galli;9-48;00000-000;Jd Imperador;;Araraquara;SP;Brasil;07570121000118;;COMODATO 06/05/2017;19/03/2012;;Inativo;16/09/2022;0;0;59;
10001852;;*ATACADÃO ARARAQUARA - 145;ATACADÃO ARARAQUARA - 145;cadastroararaquara@atacadao.com.br;(16) 3301-3725;;;Avenida Aroeiras;285;14800-656;7º Distrito Industrial (Antonio Zanin);;Araraquara;SP;Brasil;75315333014592;;;18/01/2013;;Ativo;20/10/2023;0;0;57;
10001853;COMODATO 04/01/2019;AUTO POSTO ÍMOLA;AUTO POSTO ÍMOLA;;(16) 3397-5308;Outros estabelecimentos comerciais;Comércio;Avenida Maria Antonia Camargo de Oliveira;3571;14806-150;Vila Velosa;De 3457/3458;Araraquara;SP;Brasil;29017490000110;;;07/01/2019;;Deletado;18/02/2021;0;0;6;
10001854;;BALAUE FEST;BALAUE FEST;;(16) 3304-1104;;;Avenida Sete de Setembro;433;14801-010;Centro;;Araraquara;SP;Brasil;;;;19/09/2013;;Deletado;12/11/2021;0;0;13;
